"unit_id","student_id","week","text","text_sha1","question","context"
"S01_w01_u01","S01",1,"The personality test said I score low on extraversion and high on conscientiousness, which honestly did not surprise me at all. I have always been the person who prepares everything in advance and then says very little in the actual meeting. That is simply how I am.","4823aaf80731b5f71887dc723f923d7bac059853",,
"S01_w01_u02","S01",1,"To be honest I was quite hesitant when I read that half of this course would be together with students in Zurich. I do not mind group work as such, but doing it in English with people I have never met feels like a lot to ask in week one. Right now I am mostly nervous about it.","06e3dd3024f1ea1f43b66ce288bb31381db90aff",,
"S01_w01_u03","S01",1,"The hallmarks of cancer were mostly familiar from my bachelor, although I had never looked at deregulated cellular energetics in any detail. That lecture was the one I found most interesting this week.","77043f1ee7d6f3e35138c5a89ec48b3458abd3e0",,
"S01_w04_u01","S01",4,"We had our first real meeting with the Zurich group. It was awkward for the first ten minutes and then it was fine. They were friendly and one of them had already set up a shared document, which helped more than I expected.","b59ad7b7c417b4d4c7b0fd8807e935456f6c32fb",,
"S01_w04_u02","S01",4,"I realised during that meeting that I had assumed everybody would just start talking the way we do in Utrecht, where interrupting is more or less how you show interest. The Zurich students waited for each other to finish. I felt quite rude for a moment and then adjusted.","1bc943482cfe8fcb1e2ac0ca5e0216f681869b7a",,
"S01_w07_u01","S01",7,"I actually look forward to the Thursday calls now, which I would not have predicted in week one. It has become the part of the week where I hear how a completely different group approached the same paper.","8650c42a1d7d30790a1837d254b84d1e514b4ff9",,
"S01_w07_u02","S01",7,"I have started speaking more slowly and I avoid the Dutch expressions that do not translate. It makes the discussion easier for everyone, and I think my English has improved as a side effect.","f098c2be78a57ece2817f97d717cc781e4e2ba81",,
"S01_w07_u03","S01",7,"The proteomics block was hard.","7c686758c73c16a88cfea9ac1ebbc393f7bc966a",,
"S01_w10_u01","S01",10,"I am totally motivated to do something international again after this. I have already looked into whether there is an exchange option in my master. Six months ago I would have said absolutely not.","ca52efdf22a2bade3a6595375940e5cdddab5a5a",,
"S01_w10_u02","S01",10,"I am still an introvert and I still need a day to recover after a long online session, and that has not changed at all. What did change is that I no longer assume being quiet means I contributed less than the others.","8991dbc3578e0039b85982afe619cc6233483fb5",,
"S02_w01_u01","S02",1,"I am really excited about this course, mostly because of the international part. I am Italian and I have always found it easy to talk to people from anywhere, so I suspect this will be the easiest element of the whole semester for me.","aeaa18e4d3a07bd79e075d182ee043c45a922ea4",,
"S02_w01_u02","S02",1,"My own culture is quite expressive and we interrupt each other constantly, which people from elsewhere sometimes read as arguing. It is not arguing. Knowing that about myself at least lets me explain it when somebody looks alarmed.","90242e49cb4450aa9bcb7f2d172eaf6e6bc4b24a",,
"S02_w01_u03","S02",1,"I had never seen a Circos plot before this week and I remain unconvinced that they are the clearest way to present structural variants.","50579308e2289e5253244bb2e400bb65b1fba940",,
"S02_w04_u01","S02",4,"Finding a time slot that worked for both sites took us four days of messages for a thirty minute meeting. I understand there is only one hour of difference between us, but somehow it was still a nightmare.","c188768d962af843612e4603e5552a561259c5d6",,
"S02_w04_u02","S02",4,"There are only three students left in Zurich, which makes the whole COIL idea feel rather thin. In our group of six we are five from Utrecht and one from Zurich, so in practice it is us plus a guest.","53014eb8849e08fb7eb28bccab191b66e5ea35d2",,
"S02_w07_u01","S02",7,"I have stopped thinking of the international element as a real part of the course. We do the joint session because it is on the schedule, and afterwards everyone goes back to working with whoever is sitting next to them.","39b40fa6420ee8ca7b6c3cecae85d2b85d97e4a6",,
"S02_w07_u02","S02",7,"The paper discussions themselves are good. Reading a methods section properly and then arguing about whether the controls were adequate is the most useful thing I have done this semester.","5e381f43a8a5f1cfee6cfc56bd70200f2cdc2545",,
"S02_w10_u01","S02",10,"If I am honest I would not choose the COIL version of this course again. Not because international collaboration is a bad idea, but because doing it badly is worse than not doing it at all.","71a051a5c6102b3f661492a029da0e8535d064a0",,
"S02_w10_u02","S02",10,"I also have to admit that I am impatient with people who do not answer messages within a day, and that is probably as much a cultural thing on my side as on theirs. I am not certain I gave them a fair chance.","5ca40a0b4154c160b523035fe43da2346d916c69",,
