"unit_id","student_id","week","provider","model","tier","replicate","profile","rater_id","codes","n_codes","cq_type","conf_primary","conf_cq","mode_primary","repaired","secs","cached","ok","error","is_positive","is_negative","is_self_awareness","is_no_comment"
"P01_w01_u01","P01",1,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"main","llm:DeepSeek-V4-Flash-DSpark","Negative | Self awareness",2,"Motivational","0.95","0.95","prompt",,2.85,TRUE,TRUE,"",FALSE,TRUE,TRUE,FALSE
"P01_w01_u02","P01",1,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"main","llm:DeepSeek-V4-Flash-DSpark","No comment",1,,"1",,"prompt",,1.19,TRUE,TRUE,"",FALSE,FALSE,FALSE,TRUE
"P01_w01_u03","P01",1,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"main","llm:DeepSeek-V4-Flash-DSpark","No comment",1,,"0.95",,"prompt",,0.74,TRUE,TRUE,"",FALSE,FALSE,FALSE,TRUE
"P01_w04_u01","P01",4,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"main","llm:DeepSeek-V4-Flash-DSpark","Positive",1,,"0.95",,"prompt",,1.61,TRUE,TRUE,"",TRUE,FALSE,FALSE,FALSE
"P01_w04_u02","P01",4,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"main","llm:DeepSeek-V4-Flash-DSpark","Positive",1,,"0.9",,"prompt",,1.21,TRUE,TRUE,"",TRUE,FALSE,FALSE,FALSE
"P01_w07_u01","P01",7,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"main","llm:DeepSeek-V4-Flash-DSpark","Positive",1,,"0.95",,"prompt",,1.56,TRUE,TRUE,"",TRUE,FALSE,FALSE,FALSE
"P01_w07_u02","P01",7,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"main","llm:DeepSeek-V4-Flash-DSpark","No comment",1,,"1",,"prompt",,0.89,TRUE,TRUE,"",FALSE,FALSE,FALSE,TRUE
"P01_w10_u01","P01",10,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"main","llm:DeepSeek-V4-Flash-DSpark","Positive",1,,"0.9",,"prompt",,1.52,TRUE,TRUE,"",TRUE,FALSE,FALSE,FALSE
"P01_w10_u02","P01",10,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"main","llm:DeepSeek-V4-Flash-DSpark","Positive | Self awareness",2,"Metacognitive","0.9","0.9","prompt",,4.92,TRUE,TRUE,"",TRUE,FALSE,TRUE,FALSE
"P02_w01_u01","P02",1,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"main","llm:DeepSeek-V4-Flash-DSpark","Positive | Self awareness",2,"Metacognitive","0.95","0.9","prompt",,2.93,TRUE,TRUE,"",TRUE,FALSE,TRUE,FALSE
