"rater_a","rater_b","n_joint","exact_set_agreement","alpha_nominal","alpha_headline"
"DeepSeek-V4-Flash-DSpark","llama3.1:latest",45,0.911111111111111,0.889406648027338,0.913029315960912
"DeepSeek-V4-Flash-DSpark","qwen3.6:latest",45,0.911111111111111,0.887626262626263,0.912972620599739
"DeepSeek-V4-Flash-DSpark","gemma4:e4b",45,0.866666666666667,0.836547291092746,0.884744055541566
"gpt-oss:20b","qwen3:14b",45,0.888888888888889,0.863329238329238,0.880705694826837
"DeepSeek-V4-Flash-DSpark","qwen3:14b",45,0.866666666666667,0.833489242282507,0.874280126045855
"gemma4:e4b","llama3.1:latest",45,0.844444444444444,0.81092564491654,0.8654766617483
"DeepSeek-V4-Flash-DSpark","gpt-oss:20b",45,0.844444444444444,0.807359307359307,0.851725761471877
"gemma4:e4b","gpt-oss:20b",45,0.822222222222222,0.784894259818731,0.839622301510073
"gemma4:e4b","qwen3.6:latest",45,0.822222222222222,0.782063054790328,0.837235988094811
"llama3.1:latest","qwen3.6:latest",45,0.822222222222222,0.778606965174129,0.826498194945848
"qwen3.6:latest","qwen3:14b",45,0.822222222222222,0.777916406737367,0.826360286147843
"llama3.1:latest","qwen3:14b",45,0.822222222222222,0.780585516178737,0.826153011394466
"gpt-oss:20b","qwen3.6:latest",45,0.8,0.752242499226724,0.804042591589966
"gemma4:e4b","qwen3:14b",45,0.777777777777778,0.728823887873248,0.798084194605495
"gpt-oss:20b","llama3.1:latest",45,0.777777777777778,0.727745487916794,0.793720349110926
