"unit_id","student_id","week","text","context","para_id","sent_in_para","n_sent_in_para","expected_codes","expected_cq"
"F1_w01_p01_s01","F1",1,"I signed up for this course because the topic sounded interesting.","I signed up for this course because the topic sounded interesting. The reading list is long but it looks manageable. I am looking forward to meeting the students from the partner university.","F1_w01_p01",1,3,"Not marked",
"F1_w01_p01_s02","F1",1,"The reading list is long but it looks manageable.","I signed up for this course because the topic sounded interesting. The reading list is long but it looks manageable. I am looking forward to meeting the students from the partner university.","F1_w01_p01",2,3,"Not marked",
"F1_w01_p01_s03","F1",1,"I am looking forward to meeting the students from the partner university.","I signed up for this course because the topic sounded interesting. The reading list is long but it looks manageable. I am looking forward to meeting the students from the partner university.","F1_w01_p01",3,3,"Positive","Motivational"
"F1_w04_p01_s01","F1",4,"Our first joint session started twenty minutes late.","Our first joint session started twenty minutes late. The video link dropped twice during the discussion. I learned that in their country it is completely normal to address professors by their first name.","F1_w04_p01",1,3,"Not marked",
"F1_w04_p01_s02","F1",4,"The video link dropped twice during the discussion.","Our first joint session started twenty minutes late. The video link dropped twice during the discussion. I learned that in their country it is completely normal to address professors by their first name.","F1_w04_p01",2,3,"Not marked",
"F1_w04_p01_s03","F1",4,"I learned that in their country it is completely normal to address professors by their first name.","Our first joint session started twenty minutes late. The video link dropped twice during the discussion. I learned that in their country it is completely normal to address professors by their first name.","F1_w04_p01",3,3,"Positive","Cognitive"
"F1_w07_p01_s01","F1",7,"I noticed that I had assumed everyone would speak up in a meeting the way we do at home.","I noticed that I had assumed everyone would speak up in a meeting the way we do at home. So I started asking the quieter members of the group directly for their view. The exam date for this course was also announced this week.","F1_w07_p01",1,3,"Positive","Metacognitive"
"F1_w07_p01_s02","F1",7,"So I started asking the quieter members of the group directly for their view.","I noticed that I had assumed everyone would speak up in a meeting the way we do at home. So I started asking the quieter members of the group directly for their view. The exam date for this course was also announced this week.","F1_w07_p01",2,3,"Positive","Behavioural"
"F1_w07_p01_s03","F1",7,"The exam date for this course was also announced this week.","I noticed that I had assumed everyone would speak up in a meeting the way we do at home. So I started asking the quieter members of the group directly for their view. The exam date for this course was also announced this week.","F1_w07_p01",3,3,"Not marked",
"F2_w01_p01_s01","F2",1,"I am naturally quite reserved, which I expect to make the international group work harder for me.","I am naturally quite reserved, which I expect to make the international group work harder for me. My written English is fine, but I get nervous speaking it with the partner group. The timetable clashes with my other seminar.","F2_w01_p01",1,3,"Self awareness",
"F2_w01_p01_s02","F2",1,"My written English is fine, but I get nervous speaking it with the partner group.","I am naturally quite reserved, which I expect to make the international group work harder for me. My written English is fine, but I get nervous speaking it with the partner group. The timetable clashes with my other seminar.","F2_w01_p01",2,3,"Self awareness",
"F2_w01_p01_s03","F2",1,"The timetable clashes with my other seminar.","I am naturally quite reserved, which I expect to make the international group work harder for me. My written English is fine, but I get nervous speaking it with the partner group. The timetable clashes with my other seminar.","F2_w01_p01",3,3,"Not marked",
"F2_w04_p01_s01","F2",4,"The joint meeting was scheduled very early in the morning.","The joint meeting was scheduled very early in the morning. We divided the slides between the two groups. The collaboration between the two groups never really came together.","F2_w04_p01",1,3,"Not marked",
"F2_w04_p01_s02","F2",4,"We divided the slides between the two groups.","The joint meeting was scheduled very early in the morning. We divided the slides between the two groups. The collaboration between the two groups never really came together.","F2_w04_p01",2,3,"Not marked",
"F2_w04_p01_s03","F2",4,"The collaboration between the two groups never really came together.","The joint meeting was scheduled very early in the morning. We divided the slides between the two groups. The collaboration between the two groups never really came together.","F2_w04_p01",3,3,"Negative",
"F2_w07_p01_s01","F2",7,"Our discussions were slow because we kept misunderstanding each other's English.","Our discussions were slow because we kept misunderstanding each other's English. We eventually agreed to write every decision down. The slides we produced in the end were good.","F2_w07_p01",1,3,"Negative",
"F2_w07_p01_s02","F2",7,"We eventually agreed to write every decision down.","Our discussions were slow because we kept misunderstanding each other's English. We eventually agreed to write every decision down. The slides we produced in the end were good.","F2_w07_p01",2,3,"Not marked",
"F2_w07_p01_s03","F2",7,"The slides we produced in the end were good.","Our discussions were slow because we kept misunderstanding each other's English. We eventually agreed to write every decision down. The slides we produced in the end were good.","F2_w07_p01",3,3,"Not marked",
"F3_w01_p01_s01","F3",1,"I have worked in international teams before and I like it.","I have worked in international teams before and I like it. The first lecture was mostly organisational. I already know a few words of the partner group's language.","F3_w01_p01",1,3,"Positive","Motivational"
"F3_w01_p01_s02","F3",1,"The first lecture was mostly organisational.","I have worked in international teams before and I like it. The first lecture was mostly organisational. I already know a few words of the partner group's language.","F3_w01_p01",2,3,"Not marked",
"F3_w01_p01_s03","F3",1,"I already know a few words of the partner group's language.","I have worked in international teams before and I like it. The first lecture was mostly organisational. I already know a few words of the partner group's language.","F3_w01_p01",3,3,"Positive","Cognitive"
"F3_w04_p01_s01","F3",4,"I deliberately spoke more slowly and avoided idioms during our joint call.","I deliberately spoke more slowly and avoided idioms during our joint call. We finished the task on time. The reading for this week was very long.","F3_w04_p01",1,3,"Positive","Behavioural"
"F3_w04_p01_s02","F3",4,"We finished the task on time.","I deliberately spoke more slowly and avoided idioms during our joint call. We finished the task on time. The reading for this week was very long.","F3_w04_p01",2,3,"Not marked",
"F3_w04_p01_s03","F3",4,"The reading for this week was very long.","I deliberately spoke more slowly and avoided idioms during our joint call. We finished the task on time. The reading for this week was very long.","F3_w04_p01",3,3,"Not marked",
"F3_w07_p01_s01","F3",7,"The lecture on data integration was the best of the whole semester.","The lecture on data integration was the best of the whole semester. I still think the workload in this course is unreasonable. The group chat was quiet all week.","F3_w07_p01",1,3,"Not marked",
"F3_w07_p01_s02","F3",7,"I still think the workload in this course is unreasonable.","The lecture on data integration was the best of the whole semester. I still think the workload in this course is unreasonable. The group chat was quiet all week.","F3_w07_p01",2,3,"Not marked",
"F3_w07_p01_s03","F3",7,"The group chat was quiet all week.","The lecture on data integration was the best of the whole semester. I still think the workload in this course is unreasonable. The group chat was quiet all week.","F3_w07_p01",3,3,"Not marked",
"F3_w10_p01_s01","F3",10,"Looking back, I am far more comfortable working with people from other countries than I was in September.","Looking back, I am far more comfortable working with people from other countries than I was in September. The final presentation went well. I never did get used to the submission software.","F3_w10_p01",1,3,"Positive","Motivational"
"F3_w10_p01_s02","F3",10,"The final presentation went well.","Looking back, I am far more comfortable working with people from other countries than I was in September. The final presentation went well. I never did get used to the submission software.","F3_w10_p01",2,3,"Not marked",
"F3_w10_p01_s03","F3",10,"I never did get used to the submission software.","Looking back, I am far more comfortable working with people from other countries than I was in September. The final presentation went well. I never did get used to the submission software.","F3_w10_p01",3,3,"Not marked",
