"rater","item","factor","n","proportion"
"DeepSeek-V4-Flash-DSpark","MC1","Metacognitive",2,0.0909090909090909
"DeepSeek-V4-Flash-DSpark","MC2","Metacognitive",1,0.0454545454545455
"DeepSeek-V4-Flash-DSpark","MC3","Metacognitive",0,0
"DeepSeek-V4-Flash-DSpark","MC4","Metacognitive",2,0.0909090909090909
"DeepSeek-V4-Flash-DSpark","COG1","Cognitive",1,0.0454545454545455
"DeepSeek-V4-Flash-DSpark","COG2","Cognitive",0,0
"DeepSeek-V4-Flash-DSpark","COG3","Cognitive",3,0.136363636363636
"DeepSeek-V4-Flash-DSpark","COG4","Cognitive",0,0
"DeepSeek-V4-Flash-DSpark","COG5","Cognitive",1,0.0454545454545455
"DeepSeek-V4-Flash-DSpark","COG6","Cognitive",0,0
"DeepSeek-V4-Flash-DSpark","MOT1","Motivational",7,0.318181818181818
"DeepSeek-V4-Flash-DSpark","MOT2","Motivational",0,0
"DeepSeek-V4-Flash-DSpark","MOT3","Motivational",0,0
"DeepSeek-V4-Flash-DSpark","MOT4","Motivational",0,0
"DeepSeek-V4-Flash-DSpark","MOT5","Motivational",0,0
"DeepSeek-V4-Flash-DSpark","BEH1","Behavioural",4,0.181818181818182
"DeepSeek-V4-Flash-DSpark","BEH2","Behavioural",1,0.0454545454545455
"DeepSeek-V4-Flash-DSpark","BEH3","Behavioural",0,0
"DeepSeek-V4-Flash-DSpark","BEH4","Behavioural",0,0
"DeepSeek-V4-Flash-DSpark","BEH5","Behavioural",0,0
"gpt-oss:20b","MC1","Metacognitive",1,0.037037037037037
"gpt-oss:20b","MC2","Metacognitive",0,0
"gpt-oss:20b","MC3","Metacognitive",0,0
"gpt-oss:20b","MC4","Metacognitive",4,0.148148148148148
"gpt-oss:20b","COG1","Cognitive",3,0.111111111111111
"gpt-oss:20b","COG2","Cognitive",1,0.037037037037037
"gpt-oss:20b","COG3","Cognitive",3,0.111111111111111
"gpt-oss:20b","COG4","Cognitive",0,0
"gpt-oss:20b","COG5","Cognitive",1,0.037037037037037
"gpt-oss:20b","COG6","Cognitive",0,0
"gpt-oss:20b","MOT1","Motivational",7,0.259259259259259
"gpt-oss:20b","MOT2","Motivational",0,0
"gpt-oss:20b","MOT3","Motivational",1,0.037037037037037
"gpt-oss:20b","MOT4","Motivational",0,0
"gpt-oss:20b","MOT5","Motivational",0,0
"gpt-oss:20b","BEH1","Behavioural",5,0.185185185185185
"gpt-oss:20b","BEH2","Behavioural",1,0.037037037037037
"gpt-oss:20b","BEH3","Behavioural",0,0
"gpt-oss:20b","BEH4","Behavioural",0,0
"gpt-oss:20b","BEH5","Behavioural",0,0
"qwen3.6:latest","MC1","Metacognitive",1,0.0416666666666667
"qwen3.6:latest","MC2","Metacognitive",2,0.0833333333333333
"qwen3.6:latest","MC3","Metacognitive",0,0
"qwen3.6:latest","MC4","Metacognitive",2,0.0833333333333333
"qwen3.6:latest","COG1","Cognitive",2,0.0833333333333333
"qwen3.6:latest","COG2","Cognitive",0,0
"qwen3.6:latest","COG3","Cognitive",3,0.125
"qwen3.6:latest","COG4","Cognitive",0,0
"qwen3.6:latest","COG5","Cognitive",1,0.0416666666666667
"qwen3.6:latest","COG6","Cognitive",0,0
"qwen3.6:latest","MOT1","Motivational",6,0.25
"qwen3.6:latest","MOT2","Motivational",0,0
"qwen3.6:latest","MOT3","Motivational",1,0.0416666666666667
"qwen3.6:latest","MOT4","Motivational",0,0
"qwen3.6:latest","MOT5","Motivational",0,0
"qwen3.6:latest","BEH1","Behavioural",5,0.208333333333333
"qwen3.6:latest","BEH2","Behavioural",1,0.0416666666666667
"qwen3.6:latest","BEH3","Behavioural",0,0
"qwen3.6:latest","BEH4","Behavioural",0,0
"qwen3.6:latest","BEH5","Behavioural",0,0
