"rater_a","rater_b","n_joint","exact_set_agreement","alpha_nominal","alpha_headline"
"DeepSeek-V4-Flash-DSpark","qwen3.6:latest",45,0.911111111111111,0.887732576474298,0.913004127145029
"DeepSeek-V4-Flash-DSpark","llama3.1:latest",45,0.844444444444444,0.809538367471721,0.852228839559646
"DeepSeek-V4-Flash-DSpark","gemma4:e4b",45,0.822222222222222,0.782926829268293,0.836808801323075
"gemma4:e4b","qwen3.6:latest",45,0.8,0.755494505494505,0.81811336990427
"gemma4:e4b","gpt-oss:20b",45,0.822222222222222,0.786250375262684,0.817825977663662
"gpt-oss:20b","qwen3:14b",45,0.822222222222222,0.785024154589372,0.807823802497571
"DeepSeek-V4-Flash-DSpark","qwen3:14b",45,0.8,0.754369825206992,0.797982345523329
"DeepSeek-V4-Flash-DSpark","gpt-oss:20b",45,0.8,0.754895960832313,0.797960507350822
"llama3.1:latest","qwen3.6:latest",45,0.777777777777778,0.727328431372549,0.794820071323079
"qwen3.6:latest","qwen3:14b",45,0.755555555555556,0.69950890116636,0.769852386596272
"gpt-oss:20b","qwen3.6:latest",45,0.755555555555556,0.699969353355808,0.769695227142036
"gemma4:e4b","llama3.1:latest",45,0.733333333333333,0.680239520958084,0.753648716658279
"gemma4:e4b","qwen3:14b",45,0.733333333333333,0.677925211097708,0.740748732333585
"llama3.1:latest","qwen3:14b",45,0.733333333333333,0.678506923540036,0.737217341206971
"gpt-oss:20b","llama3.1:latest",45,0.711111111111111,0.652552552552553,0.717684377478192
