"rater","label","n","proportion","n_missing"
"DeepSeek-V4-Flash-DSpark","Metacognitive",10,0.769230769230769,32
"DeepSeek-V4-Flash-DSpark","Cognitive",1,0.0769230769230769,32
"DeepSeek-V4-Flash-DSpark","Motivational",2,0.153846153846154,32
"DeepSeek-V4-Flash-DSpark","Behavioural",0,0,32
"gemma4:e4b","Metacognitive",11,0.733333333333333,30
"gemma4:e4b","Cognitive",1,0.0666666666666667,30
"gemma4:e4b","Motivational",2,0.133333333333333,30
"gemma4:e4b","Behavioural",1,0.0666666666666667,30
"gpt-oss:20b","Metacognitive",8,0.5,29
"gpt-oss:20b","Cognitive",2,0.125,29
"gpt-oss:20b","Motivational",2,0.125,29
"gpt-oss:20b","Behavioural",4,0.25,29
"llama3.1:latest","Metacognitive",15,0.833333333333333,27
"llama3.1:latest","Cognitive",1,0.0555555555555556,27
"llama3.1:latest","Motivational",2,0.111111111111111,27
"llama3.1:latest","Behavioural",0,0,27
"qwen3.6:latest","Metacognitive",10,0.714285714285714,31
"qwen3.6:latest","Cognitive",1,0.0714285714285714,31
"qwen3.6:latest","Motivational",1,0.0714285714285714,31
"qwen3.6:latest","Behavioural",2,0.142857142857143,31
"qwen3:14b","Metacognitive",12,0.857142857142857,31
"qwen3:14b","Cognitive",0,0,31
"qwen3:14b","Motivational",2,0.142857142857143,31
"qwen3:14b","Behavioural",0,0,31
