"rater","label","n","proportion","n_missing"
"DeepSeek-V4-Flash-DSpark","Metacognitive",5,0.227272727272727,85
"DeepSeek-V4-Flash-DSpark","Cognitive",5,0.227272727272727,85
"DeepSeek-V4-Flash-DSpark","Motivational",7,0.318181818181818,85
"DeepSeek-V4-Flash-DSpark","Behavioural",5,0.227272727272727,85
"gpt-oss:20b","Metacognitive",5,0.185185185185185,80
"gpt-oss:20b","Cognitive",8,0.296296296296296,80
"gpt-oss:20b","Motivational",8,0.296296296296296,80
"gpt-oss:20b","Behavioural",6,0.222222222222222,80
"qwen3.6:latest","Metacognitive",6,0.25,83
"qwen3.6:latest","Cognitive",6,0.25,83
"qwen3.6:latest","Motivational",7,0.291666666666667,83
"qwen3.6:latest","Behavioural",5,0.208333333333333,83
