"rater","item","factor","n","proportion"
"DeepSeek-V4-Flash-DSpark","MC1","Metacognitive",0,0
"DeepSeek-V4-Flash-DSpark","MC2","Metacognitive",3,0.157894736842105
"DeepSeek-V4-Flash-DSpark","MC3","Metacognitive",0,0
"DeepSeek-V4-Flash-DSpark","MC4","Metacognitive",2,0.105263157894737
"DeepSeek-V4-Flash-DSpark","COG1","Cognitive",1,0.0526315789473684
"DeepSeek-V4-Flash-DSpark","COG2","Cognitive",0,0
"DeepSeek-V4-Flash-DSpark","COG3","Cognitive",3,0.157894736842105
"DeepSeek-V4-Flash-DSpark","COG4","Cognitive",0,0
"DeepSeek-V4-Flash-DSpark","COG5","Cognitive",1,0.0526315789473684
"DeepSeek-V4-Flash-DSpark","COG6","Cognitive",0,0
"DeepSeek-V4-Flash-DSpark","MOT1","Motivational",5,0.263157894736842
"DeepSeek-V4-Flash-DSpark","MOT2","Motivational",0,0
"DeepSeek-V4-Flash-DSpark","MOT3","Motivational",0,0
"DeepSeek-V4-Flash-DSpark","MOT4","Motivational",0,0
"DeepSeek-V4-Flash-DSpark","MOT5","Motivational",0,0
"DeepSeek-V4-Flash-DSpark","BEH1","Behavioural",3,0.157894736842105
"DeepSeek-V4-Flash-DSpark","BEH2","Behavioural",1,0.0526315789473684
"DeepSeek-V4-Flash-DSpark","BEH3","Behavioural",0,0
"DeepSeek-V4-Flash-DSpark","BEH4","Behavioural",0,0
"DeepSeek-V4-Flash-DSpark","BEH5","Behavioural",0,0
"gpt-oss:20b","MC1","Metacognitive",1,0.0434782608695652
"gpt-oss:20b","MC2","Metacognitive",3,0.130434782608696
"gpt-oss:20b","MC3","Metacognitive",0,0
"gpt-oss:20b","MC4","Metacognitive",1,0.0434782608695652
"gpt-oss:20b","COG1","Cognitive",2,0.0869565217391304
"gpt-oss:20b","COG2","Cognitive",1,0.0434782608695652
"gpt-oss:20b","COG3","Cognitive",2,0.0869565217391304
"gpt-oss:20b","COG4","Cognitive",0,0
"gpt-oss:20b","COG5","Cognitive",1,0.0434782608695652
"gpt-oss:20b","COG6","Cognitive",1,0.0434782608695652
"gpt-oss:20b","MOT1","Motivational",7,0.304347826086957
"gpt-oss:20b","MOT2","Motivational",1,0.0434782608695652
"gpt-oss:20b","MOT3","Motivational",0,0
"gpt-oss:20b","MOT4","Motivational",0,0
"gpt-oss:20b","MOT5","Motivational",0,0
"gpt-oss:20b","BEH1","Behavioural",2,0.0869565217391304
"gpt-oss:20b","BEH2","Behavioural",1,0.0434782608695652
"gpt-oss:20b","BEH3","Behavioural",0,0
"gpt-oss:20b","BEH4","Behavioural",0,0
"gpt-oss:20b","BEH5","Behavioural",0,0
"qwen3.6:latest","MC1","Metacognitive",1,0.0476190476190476
"qwen3.6:latest","MC2","Metacognitive",3,0.142857142857143
"qwen3.6:latest","MC3","Metacognitive",0,0
"qwen3.6:latest","MC4","Metacognitive",2,0.0952380952380952
"qwen3.6:latest","COG1","Cognitive",1,0.0476190476190476
"qwen3.6:latest","COG2","Cognitive",1,0.0476190476190476
"qwen3.6:latest","COG3","Cognitive",1,0.0476190476190476
"qwen3.6:latest","COG4","Cognitive",0,0
"qwen3.6:latest","COG5","Cognitive",1,0.0476190476190476
"qwen3.6:latest","COG6","Cognitive",0,0
"qwen3.6:latest","MOT1","Motivational",7,0.333333333333333
"qwen3.6:latest","MOT2","Motivational",1,0.0476190476190476
"qwen3.6:latest","MOT3","Motivational",0,0
"qwen3.6:latest","MOT4","Motivational",0,0
"qwen3.6:latest","MOT5","Motivational",0,0
"qwen3.6:latest","BEH1","Behavioural",2,0.0952380952380952
"qwen3.6:latest","BEH2","Behavioural",1,0.0476190476190476
"qwen3.6:latest","BEH3","Behavioural",0,0
"qwen3.6:latest","BEH4","Behavioural",0,0
"qwen3.6:latest","BEH5","Behavioural",0,0
