"unit_id","student_id","week","provider","model","tier","replicate","profile","rater_id","codes","n_codes","cq_type","conf_primary","conf_cq","mode_primary","repaired","secs","cached","ok","error","is_positive","is_negative","is_self_awareness","is_no_comment"
"S01_w01_u01","S01",1,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"consistency","llm:DeepSeek-V4-Flash-DSpark#r1","Self awareness",1,"Metacognitive","0.95","0.6","prompt",,5.6,TRUE,TRUE,"",FALSE,FALSE,TRUE,FALSE
"S01_w01_u02","S01",1,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"consistency","llm:DeepSeek-V4-Flash-DSpark#r1","Negative",1,,"0.95",,"prompt",,2.89,TRUE,TRUE,"",FALSE,TRUE,FALSE,FALSE
"S01_w01_u03","S01",1,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"consistency","llm:DeepSeek-V4-Flash-DSpark#r1","No comment",1,,"1",,"prompt",,0.82,TRUE,TRUE,"",FALSE,FALSE,FALSE,TRUE
"S01_w04_u01","S01",4,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"consistency","llm:DeepSeek-V4-Flash-DSpark#r1","Positive",1,,"0.9",,"prompt",,1.2,TRUE,TRUE,"",TRUE,FALSE,FALSE,FALSE
"S01_w04_u02","S01",4,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"consistency","llm:DeepSeek-V4-Flash-DSpark#r1","Positive",1,,"0.9",,"prompt",,1.45,TRUE,TRUE,"",TRUE,FALSE,FALSE,FALSE
"S01_w07_u01","S01",7,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"consistency","llm:DeepSeek-V4-Flash-DSpark#r1","Positive",1,,"0.95",,"prompt",,2.14,TRUE,TRUE,"",TRUE,FALSE,FALSE,FALSE
"S01_w07_u02","S01",7,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"consistency","llm:DeepSeek-V4-Flash-DSpark#r1","Positive",1,,"0.95",,"prompt",,1.04,TRUE,TRUE,"",TRUE,FALSE,FALSE,FALSE
"S01_w07_u03","S01",7,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"consistency","llm:DeepSeek-V4-Flash-DSpark#r1","No comment",1,,"1",,"prompt",,0.91,TRUE,TRUE,"",FALSE,FALSE,FALSE,TRUE
"S01_w10_u01","S01",10,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"consistency","llm:DeepSeek-V4-Flash-DSpark#r1","Positive",1,,"0.9",,"prompt",,1.12,TRUE,TRUE,"",TRUE,FALSE,FALSE,FALSE
"S01_w10_u02","S01",10,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"consistency","llm:DeepSeek-V4-Flash-DSpark#r1","Positive | Self awareness",2,"Metacognitive","0.9","0.9","prompt",,5.5,TRUE,TRUE,"",TRUE,FALSE,TRUE,FALSE
"S02_w01_u01","S02",1,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"consistency","llm:DeepSeek-V4-Flash-DSpark#r1","Positive | Self awareness",2,"Motivational","0.95","0.9","prompt",,3.17,TRUE,TRUE,"",TRUE,FALSE,TRUE,FALSE
"S02_w01_u02","S02",1,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"consistency","llm:DeepSeek-V4-Flash-DSpark#r1","Self awareness",1,"Metacognitive","0.95","0.95","prompt",,2.66,TRUE,TRUE,"",FALSE,FALSE,TRUE,FALSE
"S02_w01_u03","S02",1,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"consistency","llm:DeepSeek-V4-Flash-DSpark#r1","No comment",1,,"1",,"prompt",,0.79,TRUE,TRUE,"",FALSE,FALSE,FALSE,TRUE
"S02_w04_u01","S02",4,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"consistency","llm:DeepSeek-V4-Flash-DSpark#r1","Negative",1,,"1",,"prompt",,1.83,TRUE,TRUE,"",FALSE,TRUE,FALSE,FALSE
"S02_w04_u02","S02",4,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"consistency","llm:DeepSeek-V4-Flash-DSpark#r1","Negative",1,,"0.95",,"prompt",,1.35,TRUE,TRUE,"",FALSE,TRUE,FALSE,FALSE
"S02_w07_u01","S02",7,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"consistency","llm:DeepSeek-V4-Flash-DSpark#r1","Negative",1,,"1",,"prompt",,1.05,TRUE,TRUE,"",FALSE,TRUE,FALSE,FALSE
"S02_w07_u02","S02",7,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"consistency","llm:DeepSeek-V4-Flash-DSpark#r1","No comment",1,,"1",,"prompt",,0.73,TRUE,TRUE,"",FALSE,FALSE,FALSE,TRUE
"S02_w10_u01","S02",10,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"consistency","llm:DeepSeek-V4-Flash-DSpark#r1","Negative",1,,"0.95",,"prompt",,3.24,TRUE,TRUE,"",FALSE,TRUE,FALSE,FALSE
"S02_w10_u02","S02",10,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"consistency","llm:DeepSeek-V4-Flash-DSpark#r1","Self awareness",1,"Metacognitive","0.9","0.9","prompt",,4.68,TRUE,TRUE,"",FALSE,FALSE,TRUE,FALSE
"S03_w01_u01","S03",1,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"consistency","llm:DeepSeek-V4-Flash-DSpark#r1","Self awareness",1,"Metacognitive","0.9","0.8","prompt",,5.82,TRUE,TRUE,"",FALSE,FALSE,TRUE,FALSE
"S03_w01_u02","S03",1,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"consistency","llm:DeepSeek-V4-Flash-DSpark#r1","No comment",1,,"0.9",,"prompt",,7.61,TRUE,TRUE,"",FALSE,FALSE,FALSE,TRUE
"S03_w01_u03","S03",1,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"consistency","llm:DeepSeek-V4-Flash-DSpark#r1","No comment",1,,"1",,"prompt",,1.09,TRUE,TRUE,"",FALSE,FALSE,FALSE,TRUE
"S03_w04_u01","S03",4,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"consistency","llm:DeepSeek-V4-Flash-DSpark#r1","Positive",1,,"0.95",,"prompt",,1.31,TRUE,TRUE,"",TRUE,FALSE,FALSE,FALSE
"S03_w04_u02","S03",4,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"consistency","llm:DeepSeek-V4-Flash-DSpark#r1","Self awareness",1,"Behavioural","0.9","0.9","prompt",,6.77,TRUE,TRUE,"",FALSE,FALSE,TRUE,FALSE
