"unit_id","student_id","week","provider","model","tier","replicate","profile","rater_id","codes","n_codes","cq_type","conf_primary","conf_cq","mode_primary","repaired","secs","cached","ok","error","is_positive","is_negative","is_self_awareness","is_no_comment"
"S01_w01_u01","S01",1,"local_ollama","llama3.1:latest","mid",1,"main","llm:llama3.1:latest","Self awareness",1,"Metacognitive","1","0.9","schema",,8.93,TRUE,TRUE,"",FALSE,FALSE,TRUE,FALSE
"S01_w01_u02","S01",1,"local_ollama","llama3.1:latest","mid",1,"main","llm:llama3.1:latest","Negative",1,,"0.9",,"schema",,2.17,TRUE,TRUE,"",FALSE,TRUE,FALSE,FALSE
"S01_w01_u03","S01",1,"local_ollama","llama3.1:latest","mid",1,"main","llm:llama3.1:latest","No comment",1,,"1",,"schema",,2.1,TRUE,TRUE,"",FALSE,FALSE,FALSE,TRUE
"S01_w04_u01","S01",4,"local_ollama","llama3.1:latest","mid",1,"main","llm:llama3.1:latest","Positive",1,,"1",,"schema",,1.4,TRUE,TRUE,"",TRUE,FALSE,FALSE,FALSE
"S01_w04_u02","S01",4,"local_ollama","llama3.1:latest","mid",1,"main","llm:llama3.1:latest","Positive",1,,"0.9",,"schema",,1.78,TRUE,TRUE,"",TRUE,FALSE,FALSE,FALSE
"S01_w07_u01","S01",7,"local_ollama","llama3.1:latest","mid",1,"main","llm:llama3.1:latest","Positive",1,,"0.9",,"schema",,1.75,TRUE,TRUE,"",TRUE,FALSE,FALSE,FALSE
"S01_w07_u02","S01",7,"local_ollama","llama3.1:latest","mid",1,"main","llm:llama3.1:latest","Positive",1,,"1",,"schema",,1.6,TRUE,TRUE,"",TRUE,FALSE,FALSE,FALSE
"S01_w07_u03","S01",7,"local_ollama","llama3.1:latest","mid",1,"main","llm:llama3.1:latest","No comment",1,,"1",,"schema",,1.31,TRUE,TRUE,"",FALSE,FALSE,FALSE,TRUE
"S01_w10_u01","S01",10,"local_ollama","llama3.1:latest","mid",1,"main","llm:llama3.1:latest","Positive | Self awareness",2,"Motivational","0.9","0.8","schema",,3.74,TRUE,TRUE,"",TRUE,FALSE,TRUE,FALSE
"S01_w10_u02","S01",10,"local_ollama","llama3.1:latest","mid",1,"main","llm:llama3.1:latest","Positive | Self awareness",2,"Metacognitive","0.9","1","schema",,3.22,TRUE,TRUE,"",TRUE,FALSE,TRUE,FALSE
"S02_w01_u01","S02",1,"local_ollama","llama3.1:latest","mid",1,"main","llm:llama3.1:latest","Positive | Self awareness",2,"Motivational","1","0.8","schema",,3.37,TRUE,TRUE,"",TRUE,FALSE,TRUE,FALSE
"S02_w01_u02","S02",1,"local_ollama","llama3.1:latest","mid",1,"main","llm:llama3.1:latest","Self awareness",1,"Metacognitive","1","1","schema",,4.02,TRUE,TRUE,"",FALSE,FALSE,TRUE,FALSE
"S02_w01_u03","S02",1,"local_ollama","llama3.1:latest","mid",1,"main","llm:llama3.1:latest","No comment",1,,"1",,"schema",,1.53,TRUE,TRUE,"",FALSE,FALSE,FALSE,TRUE
"S02_w04_u01","S02",4,"local_ollama","llama3.1:latest","mid",1,"main","llm:llama3.1:latest","Negative",1,,"0.9",,"schema",,1.75,TRUE,TRUE,"",FALSE,TRUE,FALSE,FALSE
"S02_w04_u02","S02",4,"local_ollama","llama3.1:latest","mid",1,"main","llm:llama3.1:latest","Negative",1,,"0.9",,"schema",,1.37,TRUE,TRUE,"",FALSE,TRUE,FALSE,FALSE
"S02_w07_u01","S02",7,"local_ollama","llama3.1:latest","mid",1,"main","llm:llama3.1:latest","Negative",1,,"0.9",,"schema",,1.58,TRUE,TRUE,"",FALSE,TRUE,FALSE,FALSE
"S02_w07_u02","S02",7,"local_ollama","llama3.1:latest","mid",1,"main","llm:llama3.1:latest","No comment",1,,"1",,"schema",,1.91,TRUE,TRUE,"",FALSE,FALSE,FALSE,TRUE
"S02_w10_u01","S02",10,"local_ollama","llama3.1:latest","mid",1,"main","llm:llama3.1:latest","Negative",1,,"0.9",,"schema",,1.77,TRUE,TRUE,"",FALSE,TRUE,FALSE,FALSE
"S02_w10_u02","S02",10,"local_ollama","llama3.1:latest","mid",1,"main","llm:llama3.1:latest","Self awareness",1,"Metacognitive","0.9","0.8","schema",,3.09,TRUE,TRUE,"",FALSE,FALSE,TRUE,FALSE
"S03_w01_u01","S03",1,"local_ollama","llama3.1:latest","mid",1,"main","llm:llama3.1:latest","Self awareness",1,"Metacognitive","1","0.8","schema",,3.3,TRUE,TRUE,"",FALSE,FALSE,TRUE,FALSE
"S03_w01_u02","S03",1,"local_ollama","llama3.1:latest","mid",1,"main","llm:llama3.1:latest","Positive",1,,"1",,"schema",,1.79,TRUE,TRUE,"",TRUE,FALSE,FALSE,FALSE
"S03_w01_u03","S03",1,"local_ollama","llama3.1:latest","mid",1,"main","llm:llama3.1:latest","No comment",1,,"1",,"schema",,1.38,TRUE,TRUE,"",FALSE,FALSE,FALSE,TRUE
"S03_w04_u01","S03",4,"local_ollama","llama3.1:latest","mid",1,"main","llm:llama3.1:latest","Positive",1,,"1",,"schema",,1.64,TRUE,TRUE,"",TRUE,FALSE,FALSE,FALSE
"S03_w04_u02","S03",4,"local_ollama","llama3.1:latest","mid",1,"main","llm:llama3.1:latest","Self awareness",1,"Metacognitive","1","0.8","schema",,3.49,TRUE,TRUE,"",FALSE,FALSE,TRUE,FALSE
"S03_w07_u01","S03",7,"local_ollama","llama3.1:latest","mid",1,"main","llm:llama3.1:latest","Positive | Self awareness",2,"Metacognitive","0.9","0.8","schema",,3.48,TRUE,TRUE,"",TRUE,FALSE,TRUE,FALSE
