"rater_a","rater_b","n_joint","exact_set_agreement","alpha_nominal","alpha_headline"
"qwen3.6:latest","qwen3:14b",42,0.880952380952381,0.851040918880115,0.875146247701822
"gpt-oss:20b","qwen3:14b",42,0.857142857142857,0.822142857142857,0.843913243344895
"DeepSeek-V4-Flash-DSpark","gpt-oss:20b",42,0.880952380952381,0.852260590957636,0.843383092921838
"DeepSeek-V4-Flash-DSpark","qwen3:14b",42,0.857142857142857,0.819695872556119,0.831785171423746
"gpt-oss:20b","qwen3.6:latest",42,0.833333333333333,0.795638410130144,0.824909000661813
"DeepSeek-V4-Flash-DSpark","qwen3.6:latest",42,0.833333333333333,0.793238434163701,0.813140998916034
"gemma4:e4b","qwen3:14b",42,0.80952380952381,0.756954612005857,0.776490703141697
"gemma4:e4b","gpt-oss:20b",42,0.785714285714286,0.730616660656329,0.756515454274903
"DeepSeek-V4-Flash-DSpark","gemma4:e4b",42,0.785714285714286,0.726673984632272,0.742912454291245
"DeepSeek-V4-Flash-DSpark","llama3.1:latest",42,0.738095238095238,0.679985979670522,0.703152291441404
"gemma4:e4b","qwen3.6:latest",42,0.714285714285714,0.642754662840746,0.68563252251494
"gemma4:e4b","llama3.1:latest",42,0.714285714285714,0.64643237486688,0.678389420039591
"gpt-oss:20b","llama3.1:latest",42,0.69047619047619,0.625347222222222,0.653365861726761
"llama3.1:latest","qwen3.6:latest",42,0.69047619047619,0.625737079431148,0.651834183253825
"llama3.1:latest","qwen3:14b",42,0.666666666666667,0.591420534458509,0.628250321403392
