"rater","label","n","proportion","n_missing"
"DeepSeek-V4-Flash-DSpark","Metacognitive",8,0.727272727272727,31
"DeepSeek-V4-Flash-DSpark","Cognitive",0,0,31
"DeepSeek-V4-Flash-DSpark","Motivational",1,0.0909090909090909,31
"DeepSeek-V4-Flash-DSpark","Behavioural",2,0.181818181818182,31
"gemma4:e4b","Metacognitive",7,0.7,32
"gemma4:e4b","Cognitive",0,0,32
"gemma4:e4b","Motivational",2,0.2,32
"gemma4:e4b","Behavioural",1,0.1,32
"gpt-oss:20b","Metacognitive",7,0.583333333333333,30
"gpt-oss:20b","Cognitive",1,0.0833333333333333,30
"gpt-oss:20b","Motivational",2,0.166666666666667,30
"gpt-oss:20b","Behavioural",2,0.166666666666667,30
"llama3.1:latest","Metacognitive",16,1,26
"llama3.1:latest","Cognitive",0,0,26
"llama3.1:latest","Motivational",0,0,26
"llama3.1:latest","Behavioural",0,0,26
"qwen3.6:latest","Metacognitive",7,0.538461538461538,29
"qwen3.6:latest","Cognitive",1,0.0769230769230769,29
"qwen3.6:latest","Motivational",3,0.230769230769231,29
"qwen3.6:latest","Behavioural",2,0.153846153846154,29
"qwen3:14b","Metacognitive",9,0.75,30
"qwen3:14b","Cognitive",0,0,30
"qwen3:14b","Motivational",2,0.166666666666667,30
"qwen3:14b","Behavioural",1,0.0833333333333333,30
