"unit_id","student_id","week","provider","model","tier","replicate","profile","rater_id","codes","n_codes","cq_type","cq_item","conf_primary","conf_cq","mode_primary","repaired","secs","cached","ok","error","is_not_marked","is_positive","is_negative","is_self_awareness"
"E01_w01_q01_s01","E01",1,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"main","llm:DeepSeek-V4-Flash-DSpark","Not marked",1,,,1,,"prompt",,1.09,TRUE,TRUE,,TRUE,FALSE,FALSE,FALSE
"E01_w01_q01_s02","E01",1,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"main","llm:DeepSeek-V4-Flash-DSpark","Not marked",1,,,1,,"prompt",,1.15,TRUE,TRUE,,TRUE,FALSE,FALSE,FALSE
"E01_w01_q01_s03","E01",1,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"main","llm:DeepSeek-V4-Flash-DSpark","Positive",1,"Motivational","MOT1",0.9,0.9,"prompt",,4.05,TRUE,TRUE,,FALSE,TRUE,FALSE,FALSE
"E01_w01_q01_s04","E01",1,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"main","llm:DeepSeek-V4-Flash-DSpark","Not marked",1,,,1,,"prompt",,1.16,TRUE,TRUE,,TRUE,FALSE,FALSE,FALSE
"E01_w01_q02_s01","E01",1,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"main","llm:DeepSeek-V4-Flash-DSpark","Not marked",1,,,0.95,,"prompt",,1.24,TRUE,TRUE,,TRUE,FALSE,FALSE,FALSE
"E01_w01_q02_s02","E01",1,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"main","llm:DeepSeek-V4-Flash-DSpark","Not marked",1,,,0.95,,"prompt",,1.31,TRUE,TRUE,,TRUE,FALSE,FALSE,FALSE
"E01_w01_q02_s03","E01",1,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"main","llm:DeepSeek-V4-Flash-DSpark","Not marked",1,,,1,,"prompt",,0.88,TRUE,TRUE,,TRUE,FALSE,FALSE,FALSE
"E01_w04_q01_s01","E01",4,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"main","llm:DeepSeek-V4-Flash-DSpark","Not marked",1,,,1,,"prompt",,0.95,TRUE,TRUE,,TRUE,FALSE,FALSE,FALSE
"E01_w04_q01_s02","E01",4,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"main","llm:DeepSeek-V4-Flash-DSpark","Positive",1,"Cognitive","COG3",0.9,0.6,"prompt",,5.64,TRUE,TRUE,,FALSE,TRUE,FALSE,FALSE
"E01_w04_q01_s03","E01",4,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"main","llm:DeepSeek-V4-Flash-DSpark","Positive",1,"Motivational","MOT1",0.9,0.95,"prompt",,3.37,TRUE,TRUE,,FALSE,TRUE,FALSE,FALSE
