"batch","unit_id","student","week","rater","rater_kind","code","cq_factor","cq_item","n_raters","n_agree"
"example_sections","E01_w01_q01_s01","E01",1,"reference","human","Not marked",,,,
"example_sections","E01_w01_q01_s02","E01",1,"reference","human","Not marked",,,,
"example_sections","E01_w01_q01_s03","E01",1,"reference","human","Positive","Motivational","MOT1",,
"example_sections","E01_w01_q01_s04","E01",1,"reference","human","Not marked",,,,
"example_sections","E01_w01_q02_s01","E01",1,"reference","human","Not marked",,,,
"example_sections","E01_w01_q02_s02","E01",1,"reference","human","Not marked",,,,
"example_sections","E01_w01_q02_s03","E01",1,"reference","human","Not marked",,,,
"example_sections","E01_w04_q01_s01","E01",4,"reference","human","Not marked",,,,
"example_sections","E01_w04_q01_s02","E01",4,"reference","human","Positive","Cognitive","COG3",,
"example_sections","E01_w04_q01_s03","E01",4,"reference","human","Positive","Motivational","MOT1",,
"example_sections","E01_w04_q01_s04","E01",4,"reference","human","Not marked",,,,
"example_sections","E01_w04_q02_s01","E01",4,"reference","human","Not marked",,,,
"example_sections","E01_w04_q02_s02","E01",4,"reference","human","Self awareness",,,,
"example_sections","E01_w04_q02_s03","E01",4,"reference","human","Not marked",,,,
"example_sections","E01_w07_q01_s01","E01",7,"reference","human","Not marked",,,,
"example_sections","E01_w07_q01_s02","E01",7,"reference","human","Positive","Behavioural","BEH1",,
"example_sections","E01_w07_q01_s03","E01",7,"reference","human","Not marked",,,,
"example_sections","E01_w07_q02_s01","E01",7,"reference","human","Not marked",,,,
"example_sections","E01_w07_q02_s02","E01",7,"reference","human","Negative",,,,
"example_sections","E01_w07_q02_s03","E01",7,"reference","human","Not marked",,,,
"example_sections","E01_w10_q01_s01","E01",10,"reference","human","Not marked",,,,
"example_sections","E01_w10_q01_s02","E01",10,"reference","human","Positive","Motivational","MOT2",,
"example_sections","E01_w10_q01_s03","E01",10,"reference","human","Not marked",,,,
"example_sections","E01_w10_q02_s01","E01",10,"reference","human","Not marked",,,,
"example_sections","E01_w10_q02_s02","E01",10,"reference","human","Not marked",,,,
"example_sections","E02_w01_q01_s01","E02",1,"reference","human","Not marked",,,,
