"unit_id","student_id","week","text","text_sha1","question","question_no","context","para_id","sent_in_para","n_sent_in_para"
"E01_w01_q01_s01","E01",1,"I chose this studio mainly because of the site.","67184e124cb8405e670e35555a15244f7c840e74","What are you hoping to get out of this studio?",1,"I chose this studio mainly because of the site. The old harbour district is the most interesting piece of the city and I have wanted to work on it since second year. I am also quite curious about working with the group at the partner school, because I have never designed anything with people I cannot meet in person. The reading pack is enormous.","E01_w01_q01_p01",1,4
"E01_w01_q01_s02","E01",1,"The old harbour district is the most interesting piece of the city and I have wanted to work on it since second year.","dd54e2cdd8a98b3006954764e7c928050fbdd77e","What are you hoping to get out of this studio?",1,"I chose this studio mainly because of the site. The old harbour district is the most interesting piece of the city and I have wanted to work on it since second year. I am also quite curious about working with the group at the partner school, because I have never designed anything with people I cannot meet in person. The reading pack is enormous.","E01_w01_q01_p01",2,4
"E01_w01_q01_s03","E01",1,"I am also quite curious about working with the group at the partner school, because I have never designed anything with people I cannot meet in person.","9a60e1bdeff6f7ce3d01fb496128136830abd069","What are you hoping to get out of this studio?",1,"I chose this studio mainly because of the site. The old harbour district is the most interesting piece of the city and I have wanted to work on it since second year. I am also quite curious about working with the group at the partner school, because I have never designed anything with people I cannot meet in person. The reading pack is enormous.","E01_w01_q01_p01",3,4
"E01_w01_q01_s04","E01",1,"The reading pack is enormous.","243ed3c331a2bd1f255c31bc06aa210009fd9e89","What are you hoping to get out of this studio?",1,"I chose this studio mainly because of the site. The old harbour district is the most interesting piece of the city and I have wanted to work on it since second year. I am also quite curious about working with the group at the partner school, because I have never designed anything with people I cannot meet in person. The reading pack is enormous.","E01_w01_q01_p01",4,4
"E01_w01_q02_s01","E01",1,"I like to sketch first and talk later.","dfe8a55b68b42b58bb15b5b3d78ebc80155c96a7","How do you usually work in a team?",2,"I like to sketch first and talk later. That has annoyed people before. My model-making is slow but I get there in the end.","E01_w01_q02_p01",1,3
"E01_w01_q02_s02","E01",1,"That has annoyed people before.","6f6c1ec7244c558242d4fb1d9c477f227c904325","How do you usually work in a team?",2,"I like to sketch first and talk later. That has annoyed people before. My model-making is slow but I get there in the end.","E01_w01_q02_p01",2,3
"E01_w01_q02_s03","E01",1,"My model-making is slow but I get there in the end.","040972556e68158ae57d935b2c1676220ebcc940","How do you usually work in a team?",2,"I like to sketch first and talk later. That has annoyed people before. My model-making is slow but I get there in the end.","E01_w01_q02_p01",3,3
"E01_w04_q01_s01","E01",4,"We had our first shared review on Tuesday.","1cd87d1d058397b03f68bf1df4df4b360e6b33fd","How is the collaboration developing?",1,"We had our first shared review on Tuesday. I have learned that their school treats a review as a debate rather than a presentation, which is completely different from how we do it. I enjoyed it far more than I expected to. The file sharing is a disaster and we have lost work twice.","E01_w04_q01_p01",1,4
"E01_w04_q01_s02","E01",4,"I have learned that their school treats a review as a debate rather than a presentation, which is completely different from how we do it.","5d70b24a93d35f281d587f7fb6198ae1ef94bf08","How is the collaboration developing?",1,"We had our first shared review on Tuesday. I have learned that their school treats a review as a debate rather than a presentation, which is completely different from how we do it. I enjoyed it far more than I expected to. The file sharing is a disaster and we have lost work twice.","E01_w04_q01_p01",2,4
"E01_w04_q01_s03","E01",4,"I enjoyed it far more than I expected to.","f0aac8607dffa38642d67928a7085e39f5796a6d","How is the collaboration developing?",1,"We had our first shared review on Tuesday. I have learned that their school treats a review as a debate rather than a presentation, which is completely different from how we do it. I enjoyed it far more than I expected to. The file sharing is a disaster and we have lost work twice.","E01_w04_q01_p01",3,4
"E01_w04_q01_s04","E01",4,"The file sharing is a disaster and we have lost work twice.","ea35d08cbf68cf2509e139ba05d916cf112d945c","How is the collaboration developing?",1,"We had our first shared review on Tuesday. I have learned that their school treats a review as a debate rather than a presentation, which is completely different from how we do it. I enjoyed it far more than I expected to. The file sharing is a disaster and we have lost work twice.","E01_w04_q01_p01",4,4
"E01_w04_q02_s01","E01",4,"The time difference means our joint calls are always at the end of my day.","158eee1575d23ffeeaae0d306f491c96b09679ee","Has anything been frustrating?",2,"The time difference means our joint calls are always at the end of my day. I am not at my best then, and I am a blunt person, which probably lands differently with a group I do not know well. The plotter queue is also permanently full.","E01_w04_q02_p01",1,3
"E01_w04_q02_s02","E01",4,"I am not at my best then, and I am a blunt person, which probably lands differently with a group I do not know well.","c8d74c57f3c7ea1f9241d58e05c54996f2ed49e0","Has anything been frustrating?",2,"The time difference means our joint calls are always at the end of my day. I am not at my best then, and I am a blunt person, which probably lands differently with a group I do not know well. The plotter queue is also permanently full.","E01_w04_q02_p01",2,3
"E01_w04_q02_s03","E01",4,"The plotter queue is also permanently full.","97f9504cfeae6df021e373d0caacab5d03d44c7d","Has anything been frustrating?",2,"The time difference means our joint calls are always at the end of my day. I am not at my best then, and I am a blunt person, which probably lands differently with a group I do not know well. The plotter queue is also permanently full.","E01_w04_q02_p01",3,3
"E01_w07_q01_s01","E01",7,"I now write a short agenda before every joint call.","e8d2bc0a32c046c4a6ad5e421175947c865c1126","What has changed in how you work?",1,"I now write a short agenda before every joint call. I have stopped using slang in them, because half of it does not survive translation. The concrete casting workshop was the highlight of the semester.","E01_w07_q01_p01",1,3
"E01_w07_q01_s02","E01",7,"I have stopped using slang in them, because half of it does not survive translation.","7eaca39cda61959595ed9f26a183158b23421043","What has changed in how you work?",1,"I now write a short agenda before every joint call. I have stopped using slang in them, because half of it does not survive translation. The concrete casting workshop was the highlight of the semester.","E01_w07_q01_p01",2,3
"E01_w07_q01_s03","E01",7,"The concrete casting workshop was the highlight of the semester.","b96f84119e9d31e0db0e010521ac598690c2c063","What has changed in how you work?",1,"I now write a short agenda before every joint call. I have stopped using slang in them, because half of it does not survive translation. The concrete casting workshop was the highlight of the semester.","E01_w07_q01_p01",3,3
"E01_w07_q02_s01","E01",7,"Our scheme was criticised quite hard in the last review.","040ffde77e7de34339cb5d102c9b24b4000cf06d","Any low points?",2,"Our scheme was criticised quite hard in the last review. Part of that was because the two groups never agreed on what the word public meant for this site, and it cost us. The canteen has stopped doing the good soup.","E01_w07_q02_p01",1,3
"E01_w07_q02_s02","E01",7,"Part of that was because the two groups never agreed on what the word public meant for this site, and it cost us.","30811b7dd600fc94f0f74a9a3b62e5b91f7209a0","Any low points?",2,"Our scheme was criticised quite hard in the last review. Part of that was because the two groups never agreed on what the word public meant for this site, and it cost us. The canteen has stopped doing the good soup.","E01_w07_q02_p01",2,3
"E01_w07_q02_s03","E01",7,"The canteen has stopped doing the good soup.","2396c55a182a7bb21ad208d10b9a26b9c97def48","Any low points?",2,"Our scheme was criticised quite hard in the last review. Part of that was because the two groups never agreed on what the word public meant for this site, and it cost us. The canteen has stopped doing the good soup.","E01_w07_q02_p01",3,3
"E01_w10_q01_s01","E01",10,"The studio taught me more about drawing than any course so far.","09f187ac1015f9188d313e1ed89fc69dd4642e74","Looking back, what did you learn?",1,"The studio taught me more about drawing than any course so far. I am much less nervous now about working with people whose training is different from mine. I would still have liked to meet them in person.","E01_w10_q01_p01",1,3
"E01_w10_q01_s02","E01",10,"I am much less nervous now about working with people whose training is different from mine.","b7aeeae9ec40a1f6d0a497b412f60e6c5f4be7fe","Looking back, what did you learn?",1,"The studio taught me more about drawing than any course so far. I am much less nervous now about working with people whose training is different from mine. I would still have liked to meet them in person.","E01_w10_q01_p01",2,3
"E01_w10_q01_s03","E01",10,"I would still have liked to meet them in person.","534884cdee9c82b702df9f05acacba2cdebd0b76","Looking back, what did you learn?",1,"The studio taught me more about drawing than any course so far. I am much less nervous now about working with people whose training is different from mine. I would still have liked to meet them in person.","E01_w10_q01_p01",3,3
"E01_w10_q02_s01","E01",10,"Yes, but fix the file sharing first.","a5af929f962b5f5fad25131cfab5f5208799379e","Would you recommend it to next year's students?",2,"Yes, but fix the file sharing first. And schedule the joint calls at a civilised hour.","E01_w10_q02_p01",1,2
"E01_w10_q02_s02","E01",10,"And schedule the joint calls at a civilised hour.","e987decedb5b92060c9bcfac83773cd984653933","Would you recommend it to next year's students?",2,"Yes, but fix the file sharing first. And schedule the joint calls at a civilised hour.","E01_w10_q02_p01",2,2
"E02_w01_q01_s01","E02",1,"Mostly I want to get better at identifying algae.","b50c17273d0ab2d7f862eec22a29e14c8ed3addf","What are you expecting from the field course?",1,"Mostly I want to get better at identifying algae. The boat leaves at six every morning, which is brutal. I am sharing a room with someone from the other partner group and I am genuinely looking forward to that.","E02_w01_q01_p01",1,3
"E02_w01_q01_s02","E02",1,"The boat leaves at six every morning, which is brutal.","25595c4e0bfcf18abcb041d6ece3d40bb51acd59","What are you expecting from the field course?",1,"Mostly I want to get better at identifying algae. The boat leaves at six every morning, which is brutal. I am sharing a room with someone from the other partner group and I am genuinely looking forward to that.","E02_w01_q01_p01",2,3
"E02_w01_q01_s03","E02",1,"I am sharing a room with someone from the other partner group and I am genuinely looking forward to that.","9e3ac4b5d37a3b71661093ab118a266e514101dd","What are you expecting from the field course?",1,"Mostly I want to get better at identifying algae. The boat leaves at six every morning, which is brutal. I am sharing a room with someone from the other partner group and I am genuinely looking forward to that.","E02_w01_q01_p01",3,3
"E02_w01_q02_s01","E02",1,"My swimming is weak.","5d3a3d8d79f26051040df05eef200dd423579178","What worries you?",2,"My swimming is weak. I also get seasick, which is an awkward problem on a field course about the sea.","E02_w01_q02_p01",1,2
"E02_w01_q02_s02","E02",1,"I also get seasick, which is an awkward problem on a field course about the sea.","5a266eed6b88e04933c94264d2cd6dbacae14c49","What worries you?",2,"My swimming is weak. I also get seasick, which is an awkward problem on a field course about the sea.","E02_w01_q02_p01",2,2
"E02_w04_q01_s01","E02",4,"The sampling is going fine.","b1b16623602c2c32d845dd9265412cc2eb7ec8a5","How is the group working together?",1,"The sampling is going fine. We had a real argument about protocol on day three. I have learned that the two labs teach completely different rules for what counts as a replicate, so both of us had been right by our own standards. We rewrote the protocol sheet the same evening.","E02_w04_q01_p01",1,4
"E02_w04_q01_s02","E02",4,"We had a real argument about protocol on day three.","03d7b1be33f485fdf23acc7a6e227a13804071b0","How is the group working together?",1,"The sampling is going fine. We had a real argument about protocol on day three. I have learned that the two labs teach completely different rules for what counts as a replicate, so both of us had been right by our own standards. We rewrote the protocol sheet the same evening.","E02_w04_q01_p01",2,4
