"unit_id","student_id","week","question_no","expected_code","expected_item","expected_cq_type","arguable","item_fits"
"E01_w01_q01_s01","E01",1,"1","Not marked",,,FALSE,
"E01_w01_q01_s02","E01",1,"1","Not marked",,,FALSE,
"E01_w01_q01_s03","E01",1,"1","Positive","MOT1","Motivational",FALSE,TRUE
"E01_w01_q01_s04","E01",1,"1","Not marked",,,FALSE,
"E01_w01_q02_s01","E01",1,"2","Not marked",,,FALSE,
"E01_w01_q02_s02","E01",1,"2","Not marked",,,FALSE,
"E01_w01_q02_s03","E01",1,"2","Not marked",,,FALSE,
"E01_w04_q01_s01","E01",4,"1","Not marked",,,FALSE,
"E01_w04_q01_s02","E01",4,"1","Positive","COG3","Cognitive",FALSE,FALSE
"E01_w04_q01_s03","E01",4,"1","Positive","MOT1","Motivational",FALSE,TRUE
"E01_w04_q01_s04","E01",4,"1","Not marked",,,FALSE,
"E01_w04_q02_s01","E01",4,"2","Not marked",,,FALSE,
"E01_w04_q02_s02","E01",4,"2","Self awareness",,,FALSE,TRUE
"E01_w04_q02_s03","E01",4,"2","Not marked",,,FALSE,
"E01_w07_q01_s01","E01",7,"1","Not marked",,,FALSE,
"E01_w07_q01_s02","E01",7,"1","Positive","BEH1","Behavioural",FALSE,TRUE
"E01_w07_q01_s03","E01",7,"1","Not marked",,,FALSE,
"E01_w07_q02_s01","E01",7,"2","Not marked",,,FALSE,
"E01_w07_q02_s02","E01",7,"2","Negative",,,FALSE,TRUE
"E01_w07_q02_s03","E01",7,"2","Not marked",,,FALSE,
"E01_w10_q01_s01","E01",10,"1","Not marked",,,FALSE,
"E01_w10_q01_s02","E01",10,"1","Positive","MOT2","Motivational",FALSE,TRUE
"E01_w10_q01_s03","E01",10,"1","Not marked",,,FALSE,
"E01_w10_q02_s01","E01",10,"2","Not marked",,,FALSE,
"E01_w10_q02_s02","E01",10,"2","Not marked",,,FALSE,
"E02_w01_q01_s01","E02",1,"1","Not marked",,,FALSE,
"E02_w01_q01_s02","E02",1,"1","Not marked",,,FALSE,
"E02_w01_q01_s03","E02",1,"1","Positive","MOT1","Motivational",FALSE,TRUE
"E02_w01_q02_s01","E02",1,"2","Not marked",,,FALSE,
"E02_w01_q02_s02","E02",1,"2","Not marked",,,FALSE,
"E02_w04_q01_s01","E02",4,"1","Not marked",,,FALSE,
"E02_w04_q01_s02","E02",4,"1","Not marked",,,FALSE,
"E02_w04_q01_s03","E02",4,"1","Positive","COG3","Cognitive",FALSE,FALSE
"E02_w04_q01_s04","E02",4,"1","Not marked",,,FALSE,
"E02_w04_q02_s01","E02",4,"2","Not marked",,,FALSE,
"E02_w04_q02_s02","E02",4,"2","Not marked",,,FALSE,
"E02_w07_q01_s01","E02",7,"1","Positive","BEH3","Behavioural",TRUE,TRUE
"E02_w07_q01_s02","E02",7,"1","Positive","MC1","Metacognitive",FALSE,TRUE
