"unit_id","student_id","week","provider","model","tier","replicate","profile","rater_id","codes","n_codes","cq_type","cq_item","conf_primary","conf_cq","mode_primary","repaired","secs","cached","ok","error","is_not_marked","is_positive","is_negative","is_self_awareness"
"E01_w01_q01_s01","E01",1,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"consistency","llm:DeepSeek-V4-Flash-DSpark#r1","Not marked",1,,,1,,"prompt",,0.98,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE
"E01_w01_q01_s02","E01",1,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"consistency","llm:DeepSeek-V4-Flash-DSpark#r1","Not marked",1,,,1,,"prompt",,1.52,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE
"E01_w01_q01_s03","E01",1,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"consistency","llm:DeepSeek-V4-Flash-DSpark#r1","Positive",1,"Motivational","MOT1",0.9,0.7,"prompt",,4.16,FALSE,TRUE,,FALSE,TRUE,FALSE,FALSE
"E01_w01_q01_s04","E01",1,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"consistency","llm:DeepSeek-V4-Flash-DSpark#r1","Not marked",1,,,1,,"prompt",,0.97,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE
"E01_w01_q02_s01","E01",1,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"consistency","llm:DeepSeek-V4-Flash-DSpark#r1","Not marked",1,,,0.95,,"prompt",,1.4,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE
"E01_w01_q02_s02","E01",1,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"consistency","llm:DeepSeek-V4-Flash-DSpark#r1","Not marked",1,,,0.95,,"prompt",,1.58,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE
"E01_w01_q02_s03","E01",1,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"consistency","llm:DeepSeek-V4-Flash-DSpark#r1","Not marked",1,,,0.95,,"prompt",,2.04,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE
"E01_w04_q01_s01","E01",4,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"consistency","llm:DeepSeek-V4-Flash-DSpark#r1","Not marked",1,,,1,,"prompt",,0.95,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE
"E01_w04_q01_s02","E01",4,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"consistency","llm:DeepSeek-V4-Flash-DSpark#r1","Positive",1,"Cognitive","COG3",0.9,0.6,"prompt",,6.31,FALSE,TRUE,,FALSE,TRUE,FALSE,FALSE
"E01_w04_q01_s03","E01",4,"fgcz_vllm","DeepSeek-V4-Flash-DSpark","fgcz",1,"consistency","llm:DeepSeek-V4-Flash-DSpark#r1","Positive",1,"Motivational","MOT1",0.9,0.95,"prompt",,2.83,FALSE,TRUE,,FALSE,TRUE,FALSE,FALSE
