"rater","label","n","proportion","n_missing"
"DeepSeek-V4-Flash-DSpark","Metacognitive",10,0.714285714285714,31
"DeepSeek-V4-Flash-DSpark","Cognitive",1,0.0714285714285714,31
"DeepSeek-V4-Flash-DSpark","Motivational",1,0.0714285714285714,31
"DeepSeek-V4-Flash-DSpark","Behavioural",2,0.142857142857143,31
"gemma4:e4b","Metacognitive",12,0.631578947368421,26
"gemma4:e4b","Cognitive",2,0.105263157894737,26
"gemma4:e4b","Motivational",3,0.157894736842105,26
"gemma4:e4b","Behavioural",2,0.105263157894737,26
"gpt-oss:20b","Metacognitive",8,0.470588235294118,28
"gpt-oss:20b","Cognitive",5,0.294117647058824,28
"gpt-oss:20b","Motivational",2,0.117647058823529,28
"gpt-oss:20b","Behavioural",2,0.117647058823529,28
"llama3.1:latest","Metacognitive",20,0.869565217391304,22
"llama3.1:latest","Cognitive",1,0.0434782608695652,22
"llama3.1:latest","Motivational",1,0.0434782608695652,22
"llama3.1:latest","Behavioural",1,0.0434782608695652,22
"qwen3.6:latest","Metacognitive",9,0.642857142857143,31
"qwen3.6:latest","Cognitive",1,0.0714285714285714,31
"qwen3.6:latest","Motivational",3,0.214285714285714,31
"qwen3.6:latest","Behavioural",1,0.0714285714285714,31
"qwen3:14b","Metacognitive",12,0.8,30
"qwen3:14b","Cognitive",2,0.133333333333333,30
"qwen3:14b","Motivational",1,0.0666666666666667,30
"qwen3:14b","Behavioural",0,0,30
